standard	term	bucket	confidence	note
舅母	娘妗子	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	小舅妈	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	小妗	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
舅母	细妗	exclude	high	大/小 排行限定,鍵無法表達;或 mumuy 合成
襟弟	小姑夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	小姑妹夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	小亘子	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	婆妹夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	婆婆妹夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	姑夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	姑郎	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	小姨夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	小姨妹夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	姨妹夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	小茙夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	小尹子	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	连襟	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	姨夫	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	两乔	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	姨夫爷	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	襟兄弟	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟弟	妻尹	exclude	high	女方視角(夫之妹之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
弟妹	小婶子	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小婶儿	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小叔弟妇	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	叔弟妇	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	叔嫂	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	叔妇	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	叔姆	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	娣妇	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	娣姆	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小叔妇	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小婶	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小婶婶	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小舅弟妇	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小舅嫂	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	舅弟媳	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小舅妹	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	小舅媳妇	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	舅妇	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	舅姆	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	妻妗	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	妗仔	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	妗子	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
弟妹	妗儿	exclude	high	妯娌側(女方視角)詞形,不屬 弟妹 這個鍵
襟兄	大姑夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	大姑姐夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	大亘子	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	婆姐夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	婆婆姐夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	姑夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	姑郎	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	大姨夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	大姨姐夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	姨姐夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	大尹子	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	连襟	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	姨夫	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	两乔	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	姨夫爷	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	襟兄弟	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
襟兄	妻尹	exclude	high	女方視角(夫之姐之夫)或撞 姨父/姑父;mumuy 佔位符 亘/尹
大舅子	大伯儿	exclude	high	女方視角(夫之兄)詞形
大舅子	大伯兄	exclude	high	女方視角(夫之兄)詞形
大舅子	伯子	exclude	high	女方視角(夫之兄)詞形
大舅子	伯仔	exclude	high	女方視角(夫之兄)詞形
大舅子	伯兄	exclude	high	女方視角(夫之兄)詞形
大舅子	大伯爷	exclude	high	女方視角(夫之兄)詞形
大舅子	伯爷子	exclude	high	女方視角(夫之兄)詞形
大舅子	婿伯	exclude	high	女方視角(夫之兄)詞形
大舅子	大舅佬	exclude	high	女方視角(夫之兄)詞形
大舅子	舅佬	exclude	high	女方視角(夫之兄)詞形
大舅子	老婆舅	exclude	high	女方視角(夫之兄)詞形
大舅子	亲家舅	exclude	high	女方視角(夫之兄)詞形
婶母	几婶	exclude	high	mumuy 合成或撞其他關係詞形
婶母	婶爹	exclude	high	mumuy 合成或撞其他關係詞形
小舅子	小叔儿	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	小叔弟	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	叔子	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	叔弟	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	叔郎	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	小郎	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	小舅佬	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	舅子	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	舅佬	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	妻舅	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	老婆舅	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	亲家舅	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小舅子	舅老倌	exclude	high	女方視角(夫之弟)詞形;舅子/妻舅 已掛在 大舅子
小姨子	小姑儿	exclude	high	女方視角(夫之妹)詞形
小姨子	小姑娘	exclude	high	女方視角(夫之妹)詞形
小姨子	婆妹	exclude	high	女方視角(夫之妹)詞形
小姨子	婆婆妹	exclude	high	女方視角(夫之妹)詞形
小姨子	姑子	exclude	high	女方視角(夫之妹)詞形
小姨子	夫姑	exclude	high	女方視角(夫之妹)詞形
小姨子	小茙儿	exclude	high	女方視角(夫之妹)詞形
岳外祖父	外祖公父	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	毑公父	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	外祖公公	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	姥公父	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	毑岳父	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	外祖丈人爹	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	外祖丈人	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	外太岳父	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	姥丈爷	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	姥丈人爹	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	老丈爷	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
岳外祖父	姥爷丈人	exclude	high	mumuy 合成(外祖+丈人 拼接),非實際稱呼
大姨子	大姑儿	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
大姨子	大姑娘	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
大姨子	婆姐	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
大姨子	婆婆姐	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
大姨子	大娘姑	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
大姨子	姑子	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
大姨子	夫姑	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
大姨子	姨子	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
大姨子	妻姨	exclude	high	女方視角(夫之姐)詞形;姨子/妻姨 已掛在 小姨子
岳外祖母	外祖婆母	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	毑婆母	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	外祖婆婆	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	姥婆母	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	毑岳母	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	外祖丈母娘	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	外祖丈母	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	外太岳母	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	姥丈姥	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	姥丈母娘	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳外祖母	老丈娘	exclude	high	mumuy 合成(外祖+丈母 拼接),非實際稱呼
岳祖父	祖公父	exclude	high	mumuy 合成(祖+丈人 拼接),非實際稱呼
岳祖父	奶公父	exclude	high	mumuy 合成(祖+丈人 拼接),非實際稱呼
岳祖父	奶岳父	exclude	high	mumuy 合成(祖+丈人 拼接),非實際稱呼
岳祖父	爷丈人	exclude	high	mumuy 合成(祖+丈人 拼接),非實際稱呼
岳祖父	奶爷丈人	exclude	high	mumuy 合成(祖+丈人 拼接),非實際稱呼
岳祖父	奶丈爷	exclude	high	mumuy 合成(祖+丈人 拼接),非實際稱呼
岳祖父	老丈爷	exclude	high	mumuy 合成(祖+丈人 拼接),非實際稱呼
伯母	伯姐	exclude	high	mumuy 合成或撞其他關係詞形
姑父	大姑丈	exclude	high	大/小 排行限定或已收;姑丈 已在通用口語層
姑父	大姑夫	exclude	high	大/小 排行限定或已收;姑丈 已在通用口語層
姑父	姑伯	exclude	high	大/小 排行限定或已收;姑丈 已在通用口語層
姑父	亘	exclude	high	大/小 排行限定或已收;姑丈 已在通用口語層
姑父	小姑丈	exclude	high	大/小 排行限定或已收;姑丈 已在通用口語層
姑父	小姑夫	exclude	high	大/小 排行限定或已收;姑丈 已在通用口語層
岳祖母	祖婆母	exclude	high	mumuy 合成(祖+丈母 拼接),非實際稱呼
岳祖母	奶婆母	exclude	high	mumuy 合成(祖+丈母 拼接),非實際稱呼
岳祖母	奶岳母	exclude	high	mumuy 合成(祖+丈母 拼接),非實際稱呼
岳祖母	奶丈母娘	exclude	high	mumuy 合成(祖+丈母 拼接),非實際稱呼
岳祖母	奶丈姥	exclude	high	mumuy 合成(祖+丈母 拼接),非實際稱呼
岳祖母	奶丈母	exclude	high	mumuy 合成(祖+丈母 拼接),非實際稱呼
岳祖母	老丈姥	exclude	high	mumuy 合成(祖+丈母 拼接),非實際稱呼
曾祖父	外曾外毑父	exclude	high	mumuy 合成或撞其他關係詞形
曾祖父	三世祖	exclude	high	mumuy 合成或撞其他關係詞形
姨父	大姨丈	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
姨父	大姨父	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
姨父	大姨夫	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
姨父	姨伯	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
姨父	尹	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
姨父	小姨丈	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
姨父	小姨父	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
姨父	小姨夫	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
姨父	姨叔	exclude	high	大/小 排行限定或已收;姨丈 已在通用口語層
侄子	弟子	exclude	high	弟子 = 門徒,撞義;侄儿子 為合成
侄子	侄儿子	exclude	high	弟子 = 門徒,撞義;侄儿子 為合成
曾祖母	外曾外毑母	exclude	high	mumuy 合成或撞其他關係詞形
嫂嫂	嫂子	exclude	high	mumuy 合成或撞其他關係詞形
嫂嫂	兄姊	exclude	high	mumuy 合成或撞其他關係詞形
嫂嫂	几嫂	exclude	high	mumuy 合成或撞其他關係詞形
高祖父	外曾外曾外毑父	exclude	high	mumuy 合成或撞其他關係詞形
高祖父	高太爷	exclude	high	mumuy 合成或撞其他關係詞形
高祖父	祖太翁	exclude	high	mumuy 合成或撞其他關係詞形
高祖父	祖太爷爷	exclude	high	mumuy 合成或撞其他關係詞形
高祖父	四世祖	exclude	high	mumuy 合成或撞其他關係詞形
高祖母	外曾外曾外毑母	exclude	high	mumuy 合成或撞其他關係詞形
高祖母	高太奶	exclude	high	mumuy 合成或撞其他關係詞形
高祖母	祖太姆	exclude	high	mumuy 合成或撞其他關係詞形
高祖母	祖太奶奶	exclude	high	mumuy 合成或撞其他關係詞形
外曾外祖母	外太外婆	exclude	high	mumuy 合成(外太外+X)
外曾外祖母	外太外奶	exclude	high	mumuy 合成(外太外+X)
外曾外祖母	外太外嬷	exclude	high	mumuy 合成(外太外+X)
外曾外祖母	外太外姆	exclude	high	mumuy 合成(外太外+X)
外曾外祖母	外太外奶奶	exclude	high	mumuy 合成(外太外+X)
外曾外祖父	外太外公	exclude	high	mumuy 合成(外太外+X)
外曾外祖父	外太外爷	exclude	high	mumuy 合成(外太外+X)
外曾外祖父	外太外翁	exclude	high	mumuy 合成(外太外+X)
外曾外祖父	外太外爷爷	exclude	high	mumuy 合成(外太外+X)
伯岳父	伯公父	exclude	high	撞 伯祖父 的詞形,或女方視角
伯岳父	伯翁	exclude	high	撞 伯祖父 的詞形,或女方視角
伯岳父	伯祖	exclude	high	撞 伯祖父 的詞形,或女方視角
伯岳父	婆婆伯	exclude	high	撞 伯祖父 的詞形,或女方視角
外曾祖母	曾外毑母	exclude	high	mumuy 合成或撞其他關係詞形
外曾祖母	外太嬷	exclude	high	mumuy 合成或撞其他關係詞形
外曾祖母	外太姆	exclude	high	mumuy 合成或撞其他關係詞形
外曾祖父	曾外毑父	exclude	high	mumuy 合成或撞其他關係詞形
外曾祖父	外太翁	exclude	high	mumuy 合成或撞其他關係詞形
叔岳父	叔公父	exclude	high	撞 叔祖父 的詞形,或女方視角
叔岳父	叔翁	exclude	high	撞 叔祖父 的詞形,或女方視角
叔岳父	叔祖	exclude	high	撞 叔祖父 的詞形,或女方視角
叔岳父	婆婆叔	exclude	high	撞 叔祖父 的詞形,或女方視角
姐夫	姐郎	exclude	high	mumuy 合成或撞其他關係詞形
姐夫	胞姐夫	exclude	high	mumuy 合成或撞其他關係詞形
曾外祖母	外曾毑母	exclude	high	mumuy 合成或撞其他關係詞形
曾外祖母	太外嬷	exclude	high	mumuy 合成或撞其他關係詞形
曾外祖母	太外姆	exclude	high	mumuy 合成或撞其他關係詞形
曾外祖父	外曾毑父	exclude	high	mumuy 合成或撞其他關係詞形
曾外祖父	太外翁	exclude	high	mumuy 合成或撞其他關係詞形
叔祖父	晚公	exclude	high	mumuy 合成或撞其他關係詞形
侄女	弟女	exclude	high	書面罕用,信心不足
内侄	叔侄	exclude	high	叔侄 為羣稱
曾孙子	曾孙	literary	high	書面簡稱
曾孙子	重孙	north	high	北方
曾孙子	重孙子	north	high	北方
曾孙女	重孙女	north	high	北方
玄孙子	玄孙	literary	high	書面簡稱
玄孙子	元孙	literary	med	古語
玄孙子	重重孙	colloquial	med	口語疊稱
玄孙女	元孙女	literary	med	古語
来孙子	来孙	literary	high	《爾雅》世代名
晜孙子	晜孙	literary	high	《爾雅》世代名
晜孙子	昆孙	literary	high	同上,異寫
外曾孙子	外曾孙	literary	high	書面簡稱
外曾孙子	重外孙	north	high	北方
外曾孙女	重外孙女	north	high	北方
外玄孙子	外玄孙	literary	high	書面簡稱
外玄孙子	外元孙	literary	med	古語
外玄孙女	外元孙女	literary	med	古語
曾外孙子	曾外孙	literary	high	書面簡稱
外曾外孙子	外曾外孙	literary	high	書面簡稱
孙媳	孙媳妇	colloquial	high	通行
孙媳	孙妇	literary	med	書面
孙媳	孙新妇	min	med	閩
孙婿	孙女婿	colloquial	high	通行
孙婿	孙郎	literary	low	書面
曾孙媳	曾孙妇	literary	med	書面
曾孙媳	重孙媳妇	north	high	北方
曾孙婿	曾孙女婿	colloquial	high	通行
玄孙媳	玄孙媳妇	colloquial	high	通行
玄孙婿	玄孙女婿	colloquial	high	通行
来孙媳	来孙媳妇	colloquial	high	通行
来孙婿	来孙女婿	colloquial	high	通行
晜孙媳	晜孙媳妇	colloquial	high	通行
晜孙婿	晜孙女婿	colloquial	high	通行
外孙媳	外孙媳妇	colloquial	high	通行
外孙媳	外孙妇	literary	med	書面
外孙媳	外孙新妇	min	med	閩
外孙婿	外孙女婿	colloquial	high	通行
外孙婿	外孙郎	literary	low	書面
外曾孙媳	外曾孙媳妇	colloquial	high	通行
外曾孙媳	外曾孙妇	literary	med	書面
外曾孙婿	外曾孙女婿	colloquial	high	通行
外曾孙婿	重外孙女婿	north	med	北方
外玄孙媳	外玄孙媳妇	colloquial	high	通行
外玄孙婿	外玄孙女婿	colloquial	high	通行
外曾外孙媳	外曾外孙媳妇	colloquial	high	通行
外曾外孙婿	外曾外孙女婿	colloquial	high	通行
侄媳妇	侄媳	colloquial	high	通行
侄媳妇	侄妇	literary	med	書面
侄女婿	侄婿	colloquial	high	通行
侄女婿	侄郎	literary	low	書面
外甥媳	甥媳妇	colloquial	high	通行
外甥媳	甥媳	colloquial	high	通行
外甥媳	甥妇	literary	med	書面
外甥婿	甥女婿	colloquial	high	通行
外甥婿	甥婿	colloquial	high	通行
外甥婿	甥郎	literary	low	書面
外甥孙	甥孙	literary	high	書面簡稱
外甥孙	远甥	literary	med	古語
外甥孙	弥甥	literary	med	《左傳》
外甥孙女	甥孙女	literary	high	書面簡稱
外甥孙女	远甥女	literary	med	古語
外甥孙女	弥甥女	literary	med	古語
堂侄子	堂侄	colloquial	high	通行
堂侄子	再从子	literary	high	《爾雅》從服系
堂侄孙子	堂侄孙	colloquial	high	通行
堂侄孙子	再从孙	literary	high	從服系
从堂侄子	从堂侄	literary	high	書面簡稱
从堂侄子	三从子	literary	high	從服系
堂侄媳	堂侄媳妇	colloquial	high	通行
堂侄婿	堂侄女婿	colloquial	high	通行
堂外甥媳	堂外甥媳妇	colloquial	high	通行
堂外甥婿	堂外甥女婿	colloquial	high	通行
妹夫	妹丈	colloquial	high	通行
妹夫	妹婿	literary	med	書面
妹夫	妹郎	literary	low	書面
弟媳	弟媳妇	colloquial	high	通行
弟媳	弟媳妇子	northwest	med	西北
弟媳	弟新妇	min	med	閩
堂嫂	堂弟妇	exclude	high	誤掛:堂弟妇 指堂弟之妻,不是堂兄之妻
堂弟媳	堂弟妹	colloquial	med	通行
堂弟媳	堂弟妇	literary	med	書面
舅祖父	舅爷爷	north	high	北方
舅祖父	舅祖	literary	high	書面簡稱
舅祖父	太舅父	literary	med	書面
舅祖母	妗婆	north	high	北方妗系
舅祖母	妗奶	north	med	北方妗系
舅祖母	太舅母	literary	med	書面
姨祖母	姨奶	north	high	北方
姨祖母	姨娭毑	xiang	med	湘語娭毑系
姨祖父	姨爷爷	north	high	北方
姨祖父	姨公公	south	med	南系
姨祖父	姨丈公	south	med	南系
姑祖父	祖姑丈	literary	med	書面
姑祖父	恩爹	min	med	閩南恩系
叔祖母	叔娭毑	xiang	med	湘語娭毑系
叔祖母	幺奶	southwest	high	西南幺系
叔祖母	晚婆	yue	low	粵
伯祖母	姆婆	min	med	閩南
伯祖母	伯娭毑	xiang	med	湘語娭毑系
伯外祖父	大姥爷	north	med	北方姥系
伯外祖父	大外爷	north	med	北方
伯外祖父	大外公	south	med	南系
叔外祖父	小姥爷	north	med	北方姥系
叔外祖父	小外爷	north	med	北方
叔外祖父	小外公	south	med	南系
伯外祖母	大姥姥	north	med	北方姥系
伯外祖母	大外婆	south	med	南系
叔外祖母	小姥姥	north	med	北方姥系
叔外祖母	婶姥姥	north	med	北方姥系
叔外祖母	小外婆	south	med	南系
舅外祖母	妗姥姥	north	high	北方妗系
舅外祖母	妗姥娘	north	med	北方妗系
舅外祖母	妗姥	north	med	北方妗系
姑外祖父	恩爹	min	med	閩南恩系
姑外祖父	外姑丈公	south	med	南系
姨外祖父	外姨丈公	south	med	南系
堂伯	从父	literary	high	《爾雅》從服系
堂叔	从父	literary	high	《爾雅》從服系
从伯	从伯父	literary	high	書面全稱
从伯	再从父	literary	high	從服系
从叔	从叔父	literary	high	書面全稱
从叔	再从父	literary	high	從服系
从伯母	再从母	literary	high	從服系
从婶	再从母	literary	high	從服系
堂舅母	堂舅妈	colloquial	high	通行
堂姨父	堂姨丈	colloquial	high	通行
堂妹	堂细妹	yue	med	粵
姻侄	世侄	literary	high	書面
内侄女	舅侄女	colloquial	med	通行
高外祖母	高外婆	south	med	南系
岳曾祖母	曾祖婆母	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳曾祖母	曾祖婆	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳曾祖母	太奶亲	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳曾祖母	曾祖岳母	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳曾祖母	曾祖丈母	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳曾祖母	曾祖丈母娘	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳曾祖母	祖奶丈母娘	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳曾祖母	太奶丈母娘	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳外曾祖父	外曾祖公父	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳外曾祖父	外曾祖公	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳外曾祖父	外曾祖岳父	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳外曾祖父	祖奶爷丈人	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳外曾祖父	太奶爷丈人	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳外曾祖父	祖姥爷丈人	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳外曾祖父	太姥爷丈人	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
妹夫	妹弟	exclude	high	mumuy 合成或深層拼接,非實際稱呼
妹夫	妹夫子	exclude	high	mumuy 合成或深層拼接,非實際稱呼
妹夫	胞妹夫	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳曾外祖母	曾外祖婆母	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳曾外祖母	曾外祖婆	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳曾外祖母	曾外祖岳母	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳曾外祖母	曾外祖丈母	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳曾外祖母	曾外祖丈母娘	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳曾外祖母	祖姥丈母娘	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
岳曾外祖母	太姥丈母娘	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
伯岳母	伯婆母	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
伯岳母	姆婆	exclude	high	mumuy 合成或深層拼接,非實際稱呼
伯岳母	伯婆婆	exclude	high	mumuy 合成或深層拼接,非實際稱呼
伯岳母	伯姆	exclude	high	mumuy 合成或深層拼接,非實際稱呼
伯岳母	婆婆伯姆	exclude	high	mumuy 合成或深層拼接,非實際稱呼
叔岳母	叔婆母	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
叔岳母	婶婆婆	exclude	high	mumuy 合成或深層拼接,非實際稱呼
叔岳母	婶亲	exclude	high	mumuy 合成或深層拼接,非實際稱呼
叔岳母	婆婆婶子	exclude	high	mumuy 合成或深層拼接,非實際稱呼
岳曾祖父	曾祖公父	exclude	high	mumuy 以「祖輩詞 + 丈人/丈母/公/婆」拼接,非實際稱呼
